eye, blinked, time
right,False,1694904651.6049235
left,False,1694904651.7004585
right,True,1694904651.8384142
left,True,1694904651.9320662
right,False,1694904653.8103113
left,False,1694904653.8243136
right,True,1694904653.9088218
left,True,1694904653.9543827
right,False,1694904654.8901286
left,False,1694904654.891126
right,True,1694904655.4785764
left,False,1694904658.2642968
right,False,1694904658.317566
left,True,1694904658.4112666
right,True,1694904658.458009
right,False,1694904659.9295518
left,False,1694904659.974557
right,True,1694904660.064845
left,True,1694904660.1085007
right,False,1694904661.3285828
left,False,1694904661.3688476
left,True,1694904661.4148245
right,True,1694904661.4595797
left,False,1694904661.550503
right,False,1694904661.5947433
left,True,1694904661.5947433
right,True,1694904661.6409512
right,False,1694904662.3178844
left,False,1694904662.3603313
left,True,1694904662.4493876
right,True,1694904662.494642
right,False,1694904663.484031
left,False,1694904663.4854627
left,True,1694904663.5797615
right,True,1694904663.6641603
right,False,1694904664.973126
left,False,1694904665.0135152
left,True,1694904665.1501944
right,True,1694904665.1961327
right,False,1694904667.8976467
left,False,1694904667.9405935
left,True,1694904667.9868343
right,True,1694904668.029919
right,False,1694904669.2442157
left,False,1694904669.245217
right,True,1694904669.424187
left,True,1694904669.523455
left,False,1694904669.7520244
right,False,1694904669.8383114
right,True,1694904670.1232035
left,True,1694904670.1542108
left,False,1694904670.4284685
left,True,1694904670.440502
right,False,1694904672.4864004
left,False,1694904672.5387526
left,True,1694904672.676638
right,True,1694904672.8066263
left,False,1694904672.8555768
right,False,1694904672.8996243
left,True,1694904673.025373
right,True,1694904673.43141
left,False,1694904673.4781926
left,True,1694904673.8032773
right,False,1694904674.5085769
right,True,1694904674.9682634
right,False,1694904675.104559
right,True,1694904675.1473362
right,False,1694904677.5280337
left,False,1694904677.532017
right,True,1694904677.5715778
left,True,1694904677.6141622
left,False,1694904681.036382
right,False,1694904681.3527458
left,True,1694904681.529963
right,True,1694904681.6729465
left,False,1694904684.6805277
right,False,1694904684.7348452
right,True,1694904685.0986798
left,True,1694904685.274449
right,False,1694904685.4134002
left,False,1694904685.5520656
right,True,1694904685.5889776
left,True,1694904685.62596
left,False,1694904685.8080142
left,True,1694904686.1314793
right,False,1694904687.5618372
left,False,1694904688.3718944
left,True,1694904688.4260845
right,False,1694904688.5643156
left,False,1694904688.6035292
left,True,1694904688.729346
right,True,1694904688.8200097
left,False,1694904689.674521
right,False,1694904689.728724
right,True,1694904689.7754056
left,True,1694904689.8194952
right,False,1694904691.1623755
left,False,1694904691.2045567
left,True,1694904691.295131
right,True,1694904691.3389366
left,False,1694904692.7778087
right,False,1694904692.8239424
right,True,1694904692.869168
left,True,1694904692.9140973
right,False,1694904694.4469407
left,False,1694904694.4509404
right,True,1694904694.5349221
left,True,1694904694.57882
right,False,1694904695.2546158
left,False,1694904695.299326
right,True,1694904695.5358543
right,False,1694904695.805216
right,True,1694904695.8946216
left,True,1694904695.9374597
right,False,1694904697.2347329
left,False,1694904697.2357502
right,True,1694904697.3247542
left,True,1694904697.3680775
left,False,1694904699.9343376
right,False,1694904699.979393
right,True,1694904700.2601902
left,True,1694904700.3081994
right,False,1694904700.3952518
right,True,1694904700.475663
right,False,1694904701.5572522
left,False,1694904701.5996842
right,True,1694904701.7348108
left,True,1694904701.7781477
right,False,1694904703.1319015
left,False,1694904703.134462
right,True,1694904703.4158678
left,True,1694904703.4555995
right,False,1694904705.2027743
left,False,1694904705.2540495
left,True,1694904705.388919
right,True,1694904705.7509403
left,False,1694904706.1982276
left,True,1694904706.287527
left,False,1694904707.1350615
right,False,1694904707.7190733
left,False,1694904708.194203
left,True,1694904708.3145354
left,False,1694904708.761575
left,True,1694904708.8150098
right,False,1694904708.8552291
left,False,1694904708.9338799
left,True,1694904709.0243566
right,True,1694904709.2062552
right,False,1694904710.4643772
right,False,1694904711.4999998
left,False,1694904712.3997614
right,False,1694904712.4578357
left,True,1694904712.5457006
left,False,1694904712.9175851
left,True,1694904712.9985719
left,False,1694904713.4045568
left,True,1694904713.5342035
right,False,1694904714.6951697
left,False,1694904714.7480204
left,True,1694904715.0245962
left,False,1694904715.3773608
left,True,1694904715.6215534
left,False,1694904715.9280713
right,False,1694904715.963726
right,True,1694904716.0119574
left,True,1694904716.043649
right,False,1694904716.0924537
left,False,1694904716.1344638
left,True,1694904716.268233
left,False,1694904716.3189068
right,True,1694904716.3595436
left,True,1694904716.5428922
left,False,1694904716.81939
right,False,1694904716.8637652
right,True,1694904717.096571
left,False,1694904718.248668
left,True,1694904718.7915921
right,False,1694904719.0778253
left,False,1694904719.1121686
left,True,1694904719.293658
right,False,1694904720.0047107
left,False,1694904720.3198714
right,True,1694904720.9058208
left,False,1694904721.4068992
right,False,1694904721.592491
left,True,1694904721.6345167
left,False,1694904721.775882
left,True,1694904721.861578
left,False,1694904721.99558
right,True,1694904722.0407522
left,True,1694904722.1186163
left,False,1694904722.2545562
left,True,1694904722.84071
right,False,1694904722.9404325
left,False,1694904723.1196754
right,True,1694904723.399738
left,True,1694904723.4794962
left,False,1694904728.2844193
left,True,1694904728.4727666
right,False,1694904728.7423108
left,False,1694904728.7897165
left,False,1694904729.7235742
left,True,1694904729.7888172
left,False,1694904730.2746036
right,False,1694904730.4083595
left,True,1694904730.4997728
right,True,1694904730.545723
left,False,1694904731.0392601
right,False,1694904731.1274047
left,True,1694904731.219427
left,False,1694904731.4800587
right,True,1694904732.064529
left,False,1694904732.3903897
left,True,1694904732.4366348
right,False,1694904733.1910508
left,False,1694904733.203433
left,True,1694904733.4677966
right,True,1694904733.5157197
right,False,1694904735.5327516
left,False,1694904735.6743548
left,True,1694904735.8565335
right,True,1694904736.0327728
right,False,1694904736.2171707
right,True,1694904736.228192
left,False,1694904736.339523
right,False,1694904736.4750078
left,False,1694904737.780614
left,True,1694904737.9746966
right,False,1694904738.94853
left,False,1694904738.960577
left,True,1694904739.1907864
right,True,1694904739.51606
right,False,1694904740.5712829
left,False,1694904740.6286805
left,True,1694904740.6709912
right,True,1694904740.760052
right,False,1694904742.1446369
left,False,1694904742.1456387
left,True,1694904742.4711285
left,False,1694904742.6038997
left,True,1694904742.8735764
right,False,1694904743.899098
left,False,1694904743.9792058
left,True,1694904744.0003927
right,True,1694904744.0453866
left,False,1694904745.7024488
right,False,1694904745.7446895
right,True,1694904745.7883248
right,False,1694904745.879275
right,True,1694904745.9240146
left,True,1694904745.969472
right,False,1694904746.0615008
right,True,1694904746.1041977
left,False,1694904746.7354286
right,False,1694904747.18634
right,True,1694904747.2295027
left,True,1694904747.2737226
right,False,1694904748.2203295
left,False,1694904748.264821
right,True,1694904748.4470663
left,True,1694904748.4995375
left,False,1694904748.6342123
left,True,1694904748.816697
right,False,1694904749.5698023
left,False,1694904749.627744
right,True,1694904749.6777437
left,True,1694904749.7188709
right,False,1694904750.6945019
left,False,1694904750.7379096
right,True,1694904750.9761236
left,True,1694904751.4854262
right,False,1694904751.8380666
right,True,1694904751.8741224
left,False,1694904752.0087569
left,True,1694904752.0438783
right,False,1694904752.0898986
right,True,1694904752.1363401
right,False,1694904754.926333
left,False,1694904754.941317
left,True,1694904755.0237029
right,True,1694904755.1139517
left,False,1694904755.284311
left,True,1694904755.530652
right,False,1694904755.6605563
left,False,1694904755.7008302
right,True,1694904755.823261
left,True,1694904755.8237755
right,False,1694904755.8732111
right,True,1694904755.9137902
right,False,1694904756.051007
right,True,1694904756.09351
right,False,1694904756.329876
left,False,1694904756.374503
left,True,1694904756.4581165
right,True,1694904756.4591157
left,False,1694904756.6359637
left,True,1694904756.8697023
right,False,1694904758.524048
left,False,1694904758.5781996
left,True,1694904758.6254206
right,True,1694904758.67032
left,False,1694904759.6040733
right,False,1694904759.6514869
left,True,1694904759.9764695
right,True,1694904760.0236967
right,False,1694904761.9473205
left,False,1694904762.000336
right,True,1694904762.1370034
left,True,1694904762.180232
right,False,1694904762.6710382
right,True,1694904762.7115555
left,False,1694904762.7543697
left,True,1694904762.8902946
right,False,1694904762.9345887
right,True,1694904762.9799216
right,False,1694904763.6537843
left,False,1694904763.699486
left,True,1694904763.937035
left,False,1694904764.2481806
right,True,1694904764.439287
left,True,1694904764.5225186
left,False,1694904765.186962
right,False,1694904765.199434
left,True,1694904765.2856896
right,True,1694904765.3754332
right,False,1694904766.2189765
left,False,1694904766.219986
right,True,1694904766.894823
left,True,1694904767.1792266
right,False,1694904767.3123324
left,False,1694904767.361444
left,True,1694904767.4797437
left,False,1694904767.7158191
right,True,1694904767.7603617
left,True,1694904767.896449
right,False,1694904768.5616522
left,False,1694904768.6031313
left,True,1694904768.6498742
right,True,1694904768.73862
right,False,1694904770.5428562
left,False,1694904770.5835476
left,True,1694904770.6297016
right,True,1694904771.0055256
left,False,1694904771.1854997
left,True,1694904771.2291098
right,False,1694904771.3941572
right,True,1694904771.4861257
left,False,1694904772.2500722
left,True,1694904772.3057477
left,False,1694904772.4928768
left,True,1694904772.52928
right,False,1694904774.0963252
left,False,1694904774.098316
left,True,1694904774.2302582
right,True,1694904774.3840978
left,False,1694904774.4212532
left,True,1694904774.5584404
right,False,1694904774.6799443
right,True,1694904774.723336
left,False,1694904774.8143146
right,False,1694904774.861508
right,True,1694904775.1282876
left,True,1694904775.2641764
left,False,1694904776.480176
right,False,1694904776.5350087
right,True,1694904776.7300506
left,True,1694904776.8566623
right,False,1694904777.1768355
left,False,1694904777.2548175
right,True,1694904777.3454878
left,True,1694904777.3781993
left,False,1694904778.32533
left,True,1694904778.3710043
right,False,1694904778.739843
left,False,1694904778.8303795
left,True,1694904779.0067906
right,True,1694904779.2962072
right,False,1694904779.6387439
left,False,1694904779.684728
left,True,1694904779.8660748
right,True,1694904779.9149034
left,False,1694904783.3210702
left,True,1694904783.4674375
right,False,1694904783.7358766
left,False,1694904783.7798147
left,True,1694904783.9185834
left,False,1694904784.1747916
left,False,1694904785.121759
left,True,1694904785.3134623
right,False,1694904786.154132
left,False,1694904786.166141
right,True,1694904786.3470185
left,True,1694904786.446023
right,False,1694904786.708974
right,True,1694904786.8399405
right,False,1694904787.288913
right,True,1694904787.4285414
left,False,1694904787.740058
right,False,1694904787.9653592
left,True,1694904788.0545847
right,True,1694904788.101391
right,False,1694904789.348735
left,False,1694904789.3497398
left,True,1694904789.3969443
right,True,1694904789.4381194
right,False,1694904790.2044115
left,False,1694904790.2484384
left,True,1694904790.2956152
right,True,1694904790.3395743
right,False,1694904790.8795826
right,True,1694904791.0137634
right,False,1694904791.2969444
right,True,1694904791.3439398
left,False,1694904791.6577823
right,False,1694904791.6698315
right,True,1694904791.7021782
left,True,1694904791.7336688
right,False,1694904792.6344407
left,False,1694904792.6354434
left,True,1694904792.7229674
right,True,1694904792.769488
left,False,1694904794.073872
left,True,1694904794.1631844
right,False,1694904794.5820127
right,True,1694904794.6262915
right,False,1694904795.3342993
right,True,1694904795.3907852
right,False,1694904795.5259871
right,True,1694904795.5760682
