right,False,1694884367.795522
left,False,1694884367.7965102
right,True,1694884367.871022
left,True,1694884367.8853486
left,False,1694884371.5321767
left,True,1694884372.0717585
right,False,1694884372.7054775
right,True,1694884373.1542
right,False,1694884373.648023
left,False,1694884373.6490302
left,True,1694884373.8255029
right,True,1694884373.8703194
right,False,1694884375.8055508
left,False,1694884375.85009
left,True,1694884375.896087
right,True,1694884375.9406095
right,False,1694884376.8875995
left,False,1694884376.9304712
right,True,1694884376.9760373
left,True,1694884377.0213342
right,False,1694884377.9204686
left,False,1694884377.9224663
left,True,1694884377.970411
right,True,1694884378.0112772
left,False,1694884378.100838
right,False,1694884378.1919384
right,True,1694884378.2360182
left,True,1694884378.2801373
right,False,1694884379.7684476
left,False,1694884379.8098502
right,True,1694884379.8561594
left,True,1694884379.9001412
right,False,1694884381.114822
right,True,1694884381.1773355
left,False,1694884382.4202464
right,False,1694884382.464883
right,True,1694884382.513824
left,True,1694884382.5546656
left,False,1694884387.1021109
left,True,1694884387.1458697
right,False,1694884393.356812
left,False,1694884393.3578115
right,True,1694884393.4453344
left,True,1694884393.4893446
right,False,1694884398.0830286
left,False,1694884398.1252806
left,True,1694884398.171243
right,True,1694884398.2156346
left,False,1694884399.5217018
right,False,1694884399.564317
right,True,1694884399.6563084
left,True,1694884399.6572855
left,False,1694884400.3307614
right,False,1694884400.3750174
right,True,1694884400.6037092
left,True,1694884400.644705
left,False,1694884400.7807214
left,True,1694884400.8739865
right,False,1694884401.0064254
left,False,1694884401.0509357
right,True,1694884401.1864815
left,False,1694884406.3618503
right,False,1694884406.4050672
right,True,1694884406.6312034
left,True,1694884406.6747532
right,False,1694884407.171044
left,False,1694884407.2140374
right,True,1694884407.3506129
right,False,1694884408.613773
left,False,1694884408.6544943
right,True,1694884408.7470522
left,True,1694884408.7902248
left,False,1694884409.3313222
right,False,1694884409.3771996
right,True,1694884409.4669576
left,True,1694884409.510065
right,False,1694884409.780584
left,False,1694884409.8249624
right,True,1694884409.9616876
left,True,1694884410.3241534
left,False,1694884412.1682487
left,True,1694884412.2557058
left,False,1694884413.9680657
right,False,1694884414.0096157
right,True,1694884414.0565057
left,True,1694884414.10215
right,False,1694884414.5957797
right,True,1694884414.7313156
left,False,1694884414.7751822
right,False,1694884415.0446815
left,True,1694884415.4111202
right,False,1694884417.6131358
left,False,1694884417.6171267
right,True,1694884417.7916136
left,True,1694884417.8349996
right,False,1694884418.195197
right,True,1694884418.239993
left,False,1694884418.2870357
left,True,1694884418.333004
right,False,1694884418.4654543
right,True,1694884418.5109851
right,False,1694884418.645041
left,False,1694884418.6900885
left,True,1694884418.8281546
right,False,1694884419.5941644
right,False,1694884420.6719065
right,False,1694884421.6632779
right,False,1694884422.6530936
right,False,1694884423.5532064
right,False,1694884424.4964528
left,False,1694884424.9026089
right,True,1694884425.0361257
right,False,1694884426.071281
right,True,1694884426.1594899
right,False,1694884426.2959805
right,True,1694884426.385092
left,False,1694884426.4755638
left,True,1694884426.5195637
right,False,1694884427.648484
right,True,1694884427.9632406
right,False,1694884428.679536
left,False,1694884428.7239208
right,True,1694884428.9965482
left,True,1694884429.312986
right,False,1694884429.6734
left,False,1694884429.7149305
left,True,1694884429.804938
right,True,1694884429.8509772
left,False,1694884430.752
right,False,1694884430.8395796
right,True,1694884431.1591082
left,True,1694884431.199553
left,False,1694884431.4254582
right,False,1694884431.469862
left,True,1694884431.5639012
right,True,1694884431.6062999
right,False,1694884432.2837613
left,False,1694884432.2867367
left,True,1694884432.779957
right,True,1694884432.820433
right,False,1694884433.0915792
right,True,1694884433.4040644
right,False,1694884433.4550977
left,False,1694884433.495971
left,True,1694884434.3525214
right,True,1694884434.4403782
right,False,1694884435.74557
right,True,1694884435.790573
left,False,1694884435.879101
right,False,1694884435.969332
right,True,1694884436.018204
left,True,1694884436.0612128
right,False,1694884436.9595492
right,True,1694884437.0057838
right,False,1694884437.1857395
left,False,1694884437.232003
left,True,1694884437.5461009
right,True,1694884437.9510055
left,False,1694884438.0857408
left,True,1694884438.4483025
left,False,1694884438.8088815
right,False,1694884438.850608
left,True,1694884439.1688669
right,True,1694884439.2543695
right,False,1694884439.6611109
right,True,1694884439.8433409
left,False,1694884440.1130357
left,True,1694884440.1557705
right,False,1694884440.425039
left,False,1694884440.426047
right,True,1694884440.966137
left,True,1694884441.0110857
left,False,1694884441.1004684
right,False,1694884441.1447806
right,True,1694884441.1906908
left,False,1694884442.0453634
left,True,1694884442.58513
left,False,1694884442.8577044
left,True,1694884442.9021914
left,False,1694884443.0806243
left,True,1694884443.4880273
right,False,1694884444.6999114
left,False,1694884444.7444422
left,True,1694884444.7894423
right,True,1694884444.9244587
right,False,1694884447.0410898
left,False,1694884447.0853102
